quran_text,ur_meaning,en_meaning
بِسْمِ,ساتھ نام,In (the) name
اللّٰهِ,اللہ کے,(of) Allah
الرَّحْمٰنِ,جو بے حد مہربان ہے,the Most Gracious
الرَّحِیْمِ,بار بار رحم فرمانے والا ہے,the Most Merciful
اَلْحَمْدُ,سب تعریف,All praises and thanks
لِلّٰهِ,اللہ کے لیے ہے,(be) to Allah
رَبِّ,جو رب ہے,the Lord
الْعٰلَمِیْنَ,تمام جہانوں کا,of the universe
الرَّحْمٰنِ,جو بہت مہربان,The Most Gracious
الرَّحِیْمِ,بار بار رحم فرمانے والا ہے,the Most Merciful
مٰلِكِ,مالک ہے,(The) Master
یَوْمِ,دن کا,(of the) Day
الدِّیْنِ,بدلے کے,(of the) Judgment
اِیَّاكَ,صرف تیری,You Alone
نَعْبُدُ,ہم عبادت کرتے ہیں,we worship
وَاِیَّاكَ,اور صرف تجھ سے,and You Alone
نَسْتَعِیْنُ,ہم مدد چاہتے ہیں,we ask for help
اِهْدِنَا,دکھا ہم کو,Guide us
الصِّرَاطَ,راستہ,(to) the path
الْمُسْتَقِیْمَ,سیدھا,the straight
صِرَاطَ,راستہ,(The) path
الَّذِیْنَ,ان لوگوں کا,(of) those
اَنْعَمْتَ,انعام کیا تو نے,You have bestowed (Your) Favors
عَلَیْهِمْ,اوپر ان کے,on them
غَیْرِ,نہ ان (لوگوں) کا,not (of)
الْمَغْضُوْبِ,غضب کیا گیا,those who earned (Your) wrath
عَلَیْهِمْ,اوپر ان کے,on themselves
وَلَا,اور نہ,and not
الضَّآلِّیْنَ,ان (لوگوں) کا جو گمراہ ہیں / گم کردہ راہ ہیں,(of) those who go astray
الٓمّٓ,الف ۔ لام ۔ میم,Alif Laam Meem
ذٰلِكَ,وہ / یہ,That
الْكِتٰبُ,کتاب ہے,(is) the book
لَا,نہیں,no
رَیْبَ,کوئی شک,doubt
فِیْهِ,جس  میں,in it
هُدًی,ہدایت ہے,a Guidance
لِّلْمُتَّقِیْنَ,واسطے ان کے جو متقی ہیں,for the God-conscious
الَّذِیْنَ,یہ وہ لوگ ہیں,Those who
یُؤْمِنُوْنَ,جو ایمان لاتے ہیں,believe
بِالْغَیْبِ,غیب پر,in the unseen
وَیُقِیْمُوْنَ,اور وہ قائم کرتے ہیں,and establish
الصَّلٰوةَ,نماز,the prayer
وَمِمَّا,اس میں سے جو,and out of what
رَزَقْنٰهُمْ,رزق دیا ہم نے ان کو,We have provided them
یُنْفِقُوْنَ,وہ خرچ کرتے ہیں,they spend
وَالَّذِیْنَ,اور وہ لوگ,And those who
یُؤْمِنُوْنَ,جو ایمان لاتے ہیں,believe
بِمَاۤ,ساتھ اس کے جو,in what
اُنْزِلَ,نازل کیا گیا,(is) sent down
اِلَیْكَ,طرف آپ کے,to you
وَمَاۤ,اور جو,and what
اُنْزِلَ,نازل کیا گیا,was sent down
مِنْ,سے,from
قَبْلِكَۚ,آپ سے پہلے,before you
وَبِالْاٰخِرَةِ,اور آخرت کے ساتھ,and in the Hereafter
هُمْ,وہ,they
یُوْقِنُوْنَ,وہ یقین رکھتے ہیں,firmly believe
اُولٰٓىِٕكَ,یہی لوگ,Those
عَلٰی,اوپر,(are) on
هُدًی,ہدایت کے ہیں,Guidance
مِّنْ,سے,from
رَّبِّهِمْۗ,اپنے رب کی طرف سے,their Lord
وَاُولٰٓىِٕكَ,اور یہی لوگ ہیں,and those
هُمُ,وہ,they
الْمُفْلِحُوْنَ,جو فلاح پانے والے ہیں,(are) the successful ones
اِنَّ,بیشک,Indeed
الَّذِیْنَ,وہ لوگ,those who
كَفَرُوْا,جنہوں نے کفر کیا,disbelieve[d]
سَوَآءٌ,برابر ہے,(it) is same
عَلَیْهِمْ,اوپر ان کے,to them
ءَاَنْذَرْتَهُمْ,تم ڈراؤ ان کو,whether you warn them
اَمْ,یا,or
لَمْ,نہ,not
تُنْذِرْهُمْ,تم  ڈراؤ انکو,you warn them
لَا,نہیں,not
یُؤْمِنُوْنَ,وہ ایمان لائیں گے,they believe
خَتَمَ,مہر لگادیں,Has set a seal
اللّٰهُ,اللہ نے,Allah
عَلٰی,اوپر,on
قُلُوْبِهِمْ,ان کے دلوں کے,their hearts
وَعَلٰی,اور اوپر,and on
سَمْعِهِمْؕ,ان کے کانوں کے,their hearing
وَعَلٰۤی,اور اوپر,and on
اَبْصَارِهِمْ,ان کی آنکھوں کے,their vision
غِشَاوَةٌؗ,پردہ ہے,(is) a veil
وَّلَهُمْ,ان کے لئے,And for them
عَذَابٌ,عذاب ہے,(is) a punishment
عَظِیْمٌ,بڑا,great
وَمِنَ,اور بعض,And of
النَّاسِ,لوگ ہیں,the people
مَنْ,جو,(are some) who
یَّقُوْلُ,کہتے ہیں,say
اٰمَنَّا,ایمان لائے ہم,We believed
بِاللّٰهِ,اللہ پر,in Allah
وَبِالْیَوْمِ,اور یوم,and in the Day
الْاٰخِرِ,آخرت پر,[the] Last
وَمَا,اور نہیں,but not
هُمْ,وہ,they
بِمُؤْمِنِیْنَ,ایمان لانے والے,(are) believers (at all)
یُخٰدِعُوْنَ,وہ دھوکہ دیتے ہیں,They seek to deceive
اللّٰهَ,اللہ کو,Allah
وَالَّذِیْنَ,اور ان لوگوں کو,and those who
اٰمَنُوْاۚ,جو ایمان لائے,believe[d]
وَمَا,اور نہیں,and not
یَخْدَعُوْنَ,وہ دھوکہ دیتے,they deceive
اِلَّاۤ,مگر,except
اَنْفُسَهُمْ,اپنے نفسوں کو,themselves
وَمَا,اور نہیں,and not
یَشْعُرُوْنَ,وہ شعور رکھتے,they realize (it)
فِیْ,میں,In
قُلُوْبِهِمْ,ان کے دلوں,their hearts
مَّرَضٌ,بیماری ہے,(is) a disease
فَزَادَهُمُ,پس زیادہ کیا ان کو / بڑھایا ان کو,so has increased them
اللّٰهُ,اللہ نے,Allah
مَرَضًاۚ,بیماری میں,(in) disease
وَلَهُمْ,اور ان کے لئے,and for them
عَذَابٌ,عذاب ہے,(is) a punishment
اَلِیْمٌ,درد ناک / المناک,painful
بِمَا,بوجہ اس کے جو,because
كَانُوْا,تھے وہ,they used to
یَكْذِبُوْنَ,جھوٹ بولتے,[they] lie
وَاِذَا,اور جب,And when
قِیْلَ,کہا جاتا ہے,it is said
لَهُمْ,ان کو,to them
لَا,نہ,(Do) not
تُفْسِدُوْا,تم فساد کرو,spread corruption
فِی,میں,in
الْاَرْضِ,زمین,the earth
قَالُوْۤا,وہ کہتے ہیں,they say
اِنَّمَا,بیشک,Only
نَحْنُ,ہم تو,we
مُصْلِحُوْنَ,اصلاح کرنے والے ہیں,(are) reformers
اَلَاۤ,خبردار,Beware
اِنَّهُمْ,بیشک وہ,indeed they
هُمُ,وہی ہیں,themselves
الْمُفْسِدُوْنَ,جو فساد کرنے والے ہیں,(are) the ones who spread corruption
وَلٰكِنْ,لیکن,[and] but
لَّا,نہیں,not
یَشْعُرُوْنَ,وہ شعور رکھتے ہیں,they realize (it)
وَاِذَا,اور جب,And when
قِیْلَ,کہا جاتا ہے,it is said
لَهُمْ,واسطے ان کے,to them
اٰمِنُوْا,ایمان لے آؤ,Believe
كَمَاۤ,جیسا کہ,as
اٰمَنَ,ایمان لائے,believed
النَّاسُ,لوگ,the people
قَالُوْۤا,وہ کہتے ہیں,they say
اَنُؤْمِنُ,کیاہم ایمان لائیں,Should we believe
كَمَاۤ,جیسا کہ,as
اٰمَنَ,ایمان لائے,believed
السُّفَهَآءُؕ,جو بیوقوف ہیں,the fools
اَلَاۤ,خبردار,Beware
اِنَّهُمْ,بیشک وہ,certainly they
هُمُ,وہی ہیں,themselves
السُّفَهَآءُ,جو بیوقوف ہیں,(are) the fools
وَلٰكِنْ,لیکن,[and] but
لَّا,نہیں,not
یَعْلَمُوْنَ,وہ علم رکھتے,they know
وَاِذَا,اور جب,And when
لَقُوا,ملاقات کرتے ہیں,they meet
الَّذِیْنَ,ان لوگوں سے,those who
اٰمَنُوْا,جو ایمان لائے,believe[d]
قَالُوْۤا,وہ کہتے ہیں,they say
اٰمَنَّاۖۚ,ایمان لائے ہم,We believe[d]
وَاِذَا,اورجب,But when
خَلَوْا,وہ اکیلے ہوتے ہیں,they are alone
اِلٰی,طرف,with
شَیٰطِیْنِهِمْ,اپنے شیطانوں کے,their evil ones
قَالُوْۤا,وہ کہتے ہیں,they say
اِنَّا,بیشک ہم,Indeed we
مَعَكُمْ,تمہارے ساتھ ہیں,(are) with you
اِنَّمَا,بیشک,only
نَحْنُ,ہم تو,we
مُسْتَهْزِءُوْنَ,مذاق کرنے والے ہیں,(are) mockers
اَللّٰهُ,اللہ,Allah
یَسْتَهْزِئُ,مذاق کرے گا / مذاق کرتا ہے,mocks
بِهِمْ,ساتھ ان کے,at them
وَیَمُدُّهُمْ,اور وہ ڈھیل دے رہا ہے ان کو,and prolongs them
فِیْ,ان کی,in
طُغْیَانِهِمْ,سرکشی میں,their transgression
یَعْمَهُوْنَ,وہ بھٹک رہے ہیں/ اندھے بنے پھرتے ہیں,they wander blindly
اُولٰٓىِٕكَ,یہی ہیں,Those
