word_id,ur_meaning,en_meaning
1,ساتھ نام,In (the) name
2,اللہ کے,(of) Allah
3,جو بے حد مہربان ہے,the Most Gracious
4,بار بار رحم فرمانے والا ہے,the Most Merciful
5,سب تعریف,All praises and thanks
6,اللہ کے لیے ہے,(be) to Allah
7,جو رب ہے,the Lord
8,تمام جہانوں کا,of the universe
9,جو بہت مہربان,The Most Gracious
10,بار بار رحم فرمانے والا ہے,the Most Merciful
11,مالک ہے,(The) Master
12,دن کا,(of the) Day
13,بدلے کے,(of the) Judgment
14,صرف تیری,You Alone
15,ہم عبادت کرتے ہیں,we worship
16,اور صرف تجھ سے,and You Alone
17,ہم مدد چاہتے ہیں,we ask for help
18,دکھا ہم کو,Guide us
19,راستہ,(to) the path
20,سیدھا,the straight
21,راستہ,(The) path
22,ان لوگوں کا,(of) those
23,انعام کیا تو نے,You have bestowed (Your) Favors
24,اوپر ان کے,on them
25,نہ ان (لوگوں) کا,not (of)
26,غضب کیا گیا,those who earned (Your) wrath
27,اوپر ان کے,on themselves
28,اور نہ,and not
29,ان (لوگوں) کا جو گمراہ ہیں / گم کردہ راہ ہیں,(of) those who go astray
30,الف ۔ لام ۔ میم,Alif Laam Meem
31,وہ / یہ,That
32,کتاب ہے,(is) the book
33,نہیں,no
34,کوئی شک,doubt
35,جس  میں,in it
36,ہدایت ہے,a Guidance
37,واسطے ان کے جو متقی ہیں,for the God-conscious
38,یہ وہ لوگ ہیں,Those who
39,جو ایمان لاتے ہیں,believe
40,غیب پر,in the unseen
41,اور وہ قائم کرتے ہیں,and establish
42,نماز,the prayer
43,اس میں سے جو,and out of what
44,رزق دیا ہم نے ان کو,We have provided them
45,وہ خرچ کرتے ہیں,they spend
46,اور وہ لوگ,And those who
47,جو ایمان لاتے ہیں,believe
48,ساتھ اس کے جو,in what
49,نازل کیا گیا,(is) sent down
50,طرف آپ کے,to you
51,اور جو,and what
52,نازل کیا گیا,was sent down
53,سے,from
54,آپ سے پہلے,before you
55,اور آخرت کے ساتھ,and in the Hereafter
56,وہ,they
57,وہ یقین رکھتے ہیں,firmly believe
58,یہی لوگ,Those
59,اوپر,(are) on
60,ہدایت کے ہیں,Guidance
61,سے,from
62,اپنے رب کی طرف سے,their Lord
63,اور یہی لوگ ہیں,and those
64,وہ,they
65,جو فلاح پانے والے ہیں,(are) the successful ones
66,بیشک,Indeed
67,وہ لوگ,those who
68,جنہوں نے کفر کیا,disbelieve[d]
69,برابر ہے,(it) is same
70,اوپر ان کے,to them
71,تم ڈراؤ ان کو,whether you warn them
72,یا,or
73,نہ,not
74,تم  ڈراؤ انکو,you warn them
75,نہیں,not
76,وہ ایمان لائیں گے,they believe
77,مہر لگادیں,Has set a seal
78,اللہ نے,Allah
79,اوپر,on
80,ان کے دلوں کے,their hearts
81,اور اوپر,and on
82,ان کے کانوں کے,their hearing
83,اور اوپر,and on
84,ان کی آنکھوں کے,their vision
85,پردہ ہے,(is) a veil
86,ان کے لئے,And for them
87,عذاب ہے,(is) a punishment
88,بڑا,great
89,اور بعض,And of
90,لوگ ہیں,the people
91,جو,(are some) who
92,کہتے ہیں,say
93,ایمان لائے ہم,We believed
94,اللہ پر,in Allah
95,اور یوم,and in the Day
96,آخرت پر,[the] Last
97,اور نہیں,but not
98,وہ,they
99,ایمان لانے والے,(are) believers (at all)
100,وہ دھوکہ دیتے ہیں,They seek to deceive
101,اللہ کو,Allah
102,اور ان لوگوں کو,and those who
103,جو ایمان لائے,believe[d]
104,اور نہیں,and not
105,وہ دھوکہ دیتے,they deceive
106,مگر,except
107,اپنے نفسوں کو,themselves
108,اور نہیں,and not
109,وہ شعور رکھتے,they realize (it)
110,میں,In
111,ان کے دلوں,their hearts
112,بیماری ہے,(is) a disease
113,پس زیادہ کیا ان کو / بڑھایا ان کو,so has increased them
114,اللہ نے,Allah
115,بیماری میں,(in) disease
116,اور ان کے لئے,and for them
117,عذاب ہے,(is) a punishment
118,درد ناک / المناک,painful
119,بوجہ اس کے جو,because
120,تھے وہ,they used to
121,جھوٹ بولتے,[they] lie
122,اور جب,And when
123,کہا جاتا ہے,it is said
124,ان کو,to them
125,نہ,(Do) not
126,تم فساد کرو,spread corruption
127,میں,in
128,زمین,the earth
129,وہ کہتے ہیں,they say
130,بیشک,Only
131,ہم تو,we
